".model","RMSE","MAE","MAPE","h","i"
"nnetarx01c",7551.09266128065,7551.09266128065,1.32491401508845,1,149
"nnetarx0c",5516.03402947064,5516.03402947064,0.967842817083242,1,149
"prophet",18823.9281940974,18823.9281940974,3.30284468779759,1,149
"prophetc",20232.87351292,20232.87351292,3.55005810221817,1,149
"prophetx0",14761.8951447408,14761.8951447408,2.59012074726894,1,149
"prophetx01",18473.7977796387,18473.7977796387,3.24141083788555,1,149
"prophetx012",19379.1754169351,19379.1754169351,3.40026831380458,1,149
"prophetx01c",17953.0637746432,17953.0637746432,3.15004289786684,1,149
"prophetx0c",17308.5314689468,17308.5314689468,3.03695331953692,1,149
"sarima",1695.68666184356,1695.68666184356,0.2975250237618,1,149
"sarimac",14090.933757185,14090.933757185,2.47239392469739,1,149
"sarimax0",7214.43849919911,7214.43849919911,1.26584470716341,1,149
"sarimax01",2252.39888964221,2252.39888964221,0.395205699402781,1,149
"sarimax012",2626.0511240653,2626.0511240653,0.460766685655108,1,149
"sarimax01c",1424.22114288423,1424.22114288423,0.249893709087736,1,149
"sarimax0c",8104.98660445167,8104.98660445167,1.42210019477114,1,149
"ets",15465.2222006179,15465.2222006179,2.73539130003051,1,150
"nnetar",1838.68101219099,1838.68101219099,0.325214340863307,1,150
"nnetarc",3946.76021374285,3946.76021374285,0.698078140225323,1,150
"nnetarx0",7191.82180459239,7191.82180459239,1.27204423838577,1,150
"nnetarx01",5887.12696417095,5887.12696417095,1.04127801534755,1,150
"nnetarx012",8763.52131160547,8763.52131160547,1.55003656865918,1,150
"nnetarx01c",5276.99935071578,5276.99935071578,0.933362477885242,1,150
"nnetarx0c",9628.85540408269,9628.85540408269,1.70309142409394,1,150
"prophet",26642.947341078,26642.947341078,4.71243706805866,1,150
"prophetc",23259.1119077286,23259.1119077286,4.11392552486538,1,150
"prophetx0",31871.1302115443,31871.1302115443,5.63716519374126,1,150
"prophetx01",30142.7764911362,30142.7764911362,5.3314648508137,1,150
"prophetx012",29783.8785875749,29783.8785875749,5.26798524539546,1,150
"prophetx01c",30354.0167905316,30354.0167905316,5.36882770727229,1,150
"prophetx0c",29438.9286499212,29438.9286499212,5.20697266852046,1,150
"sarima",3975.7263978048,3975.7263978048,0.703201496802443,1,150
"sarimac",250.910768652218,250.910768652218,0.0443795197218585,1,150
"sarimax0",8438.4815032779,8438.4815032779,1.49254557031922,1,150
"sarimax01",1947.79841269355,1947.79841269355,0.344514340833867,1,150
"sarimax012",4162.3339515368,4162.3339515368,0.736207468031106,1,150
"sarimax01c",2388.01174118102,2388.01174118102,0.422376507525141,1,150
"sarimax0c",1171.5984760446,1171.5984760446,0.207224974651406,1,150
"ets",4736.50095684093,4736.50095684093,0.795503990858041,1,151
"nnetar",31419.0250458348,31419.0250458348,5.27688266941688,1,151
"nnetarc",26127.567096093,26127.567096093,4.38817263751082,1,151
"nnetarx0",20118.5849704375,20118.5849704375,3.37895310910566,1,151
"nnetarx01",19429.4454863331,19429.4454863331,3.26321087346416,1,151
"nnetarx012",13085.11430737,13085.11430737,2.19766885876217,1,151
"nnetarx01c",18466.1264664715,18466.1264664715,3.10141968377537,1,151
"nnetarx0c",17965.535184282,17965.535184282,3.01734446318552,1,151
"prophet",7022.17749731999,7022.17749731999,1.17938754251986,1,151
"prophetc",7063.35484011064,7063.35484011064,1.1863033524862,1,151
"prophetx0",2551.47493083647,2551.47493083647,0.428524877024071,1,151
"prophetx01",8250.41696205037,8250.41696205037,1.38567260502178,1,151
"prophetx012",8293.64412461093,8293.64412461093,1.39293268596418,1,151
"prophetx01c",8343.08204342832,8343.08204342832,1.40123587476902,1,151
"prophetx0c",929.60825228598,929.60825228598,0.156129404673717,1,151
"sarima",18420.0037154286,18420.0037154286,3.09367328345618,1,151
"sarimac",4542.31292530475,4542.31292530475,0.762889756115665,1,151
"sarimax0",15157.9385004691,15157.9385004691,2.54580346972975,1,151
"sarimax01",8417.62730075768,8417.62730075768,1.41375588695637,1,151
"sarimax012",9208.98845212802,9208.98845212802,1.54666643840804,1,151
"sarimax01c",10446.5987029303,10446.5987029303,1.75452534155427,1,151
"sarimax0c",8945.04894574289,8945.04894574289,1.50233731600573,1,151
